board_state,pawn_move,before_eval,after_eval,eval_change
r1bqkbnr/ppp2ppp/2np4/4p3/4PP2/5N2/PPPP2PP/RNBQKB1R w KQkq - 2 4,d2d4,31,31,0
r2qk1nr/p1p1b1pp/2ppp3/8/4PP2/8/PPP3PP/RNBQK2R w KQkq - 0 9,c2c4,71,2,-69
r2q1rk1/p1p1b1pp/2pp3n/4p3/2P1PP2/2N5/PP4PP/R1BQ1RK1 w - - 0 12,f4f5,96,94,-2
r2q1rk1/p1p1bnpp/2pp4/4pP2/2P1P3/2N5/PP4PP/R1BQ1RK1 w - - 1 13,b2b4,119,30,-89
r2q1rk1/p1p2npp/2pp4/4pPb1/1PP1P3/2N5/P5PP/R1BQ1RK1 w - - 1 14,b4b5,142,136,-6
r2q1rk1/p1p3pp/2pp4/1P2pPn1/2P1P3/2N5/P5PP/2RQ1RK1 w - - 1 16,b5c6,277,266,-11
r2q1rk1/2p4p/p1Pp2p1/4pPn1/2P1P3/2N5/P5PP/2RQR1K1 w - - 0 18,f5g6,292,270,-22
r5k1/2pq4/p2p1Qp1/8/2P1P3/8/P5PP/2R3K1 w - - 2 26,c4c5,328,153,-175
5r1k/2pq4/p2p2Q1/2P5/4P3/8/P5PP/2R3K1 w - - 1 28,c5d6,483,419,-64
3R4/q4kr1/p6Q/8/4P3/8/P5PP/5K2 w - - 7 35,e4e5,10000,682,-9318
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,33,29,-4
r1bqk1nr/ppppbppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,d2d4,39,42,3
r2qr2k/pppb1Qp1/3p3p/8/2B1P2b/8/PPP2PPP/2KRR3 w - - 1 15,e4e5,-386,-484,98
r2q1rk1/pppb2p1/3p2Qp/4P3/8/3B4/PPP2bPP/2KRR3 w - - 2 18,e5e6,307,-36,-343
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,29,30,1
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e4d5,58,64,6
rnb1kb1r/p1p1pppp/1p2qn2/8/8/2N2N2/PPPPQPPP/R1B1KB1R w KQkq - 0 6,d2d3,74,36,-38
2r1kb1r/3np1p1/pp3p1p/2p5/1n4b1/1N1P1NB1/PPP1BPPP/3R1RK1 w k - 2 16,d3d4,186,61,-125
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,27,26,-1
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c2c4,24,19,-5
rnbqkbnr/ppp1pppp/8/8/2pP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,e2e4,25,30,5
r1bq1rk1/pppn1pbp/4pnp1/8/2BPP3/2N1B3/PP2NPPP/R2Q1RK1 w - - 2 9,f2f3,155,126,-29
r1bq1rk1/1pp2pbp/1n2pnp1/p7/3PP3/2NBBP2/PP2N1PP/R2Q1RK1 w - - 0 11,b2b3,169,127,-42
r1bq1rk1/3n1pbp/2p1pnp1/pp6/3PP3/1PNBBP2/P2QN1PP/R4R1K w - - 0 14,a2a4,143,117,-26
r4rk1/3n1pnp/1qp3pQ/p3p3/PpRPP3/1P1N1P2/4N1PP/5R1K w - - 0 23,d4e5,205,220,15
r3r1k1/3n1pnp/1qp3pQ/p3P3/PpR1P3/1P1N1P2/4N1PP/5R1K w - - 1 24,f3f4,224,-153,-377
r3r1k1/5pnp/2p3p1/p3P3/Pp2PP2/1PnN1Q2/6PP/2N4K w - - 4 30,f4f5,203,141,-62
r3r1k1/5pnp/2p5/p3Pp2/Pp2P3/1PnN1Q2/6PP/2N4K w - - 0 31,e4f5,220,208,-12
3rr1k1/5pnp/2p5/p3PP2/Pp6/1PnN1Q2/6PP/2N4K w - - 1 32,h2h3,236,251,15
3rr1k1/5pnp/8/p1p1PP2/Pp6/1PnN1Q1P/6P1/2N4K w - - 0 33,f5f6,280,351,71
4r1rk/7p/4pP2/p3P3/Pp3N2/1Pn2Q1P/6P1/7K w - - 2 38,f6f7,620,685,65
4rr1k/5P1p/4p3/p3P3/Pp3N2/1Pn2Q1P/6P1/7K w - - 1 39,f7e8q,739,779,40
7k/5Q2/7p/p3P3/Pp6/1P5P/6P1/2n4K w - - 3 47,e5e6,832,10000,9168
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,26,27,1
